web-scraper-order;web-scraper-start-url;load_article;load_article-href;get_title;get_authors;get_year;get_journal
1647173223-183;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Workplace E-Collaboration: Theoretical Foundations and Practical Implications.;https://www.alexandria.unisg.ch/213166/;Workplace E-Collaboration: Theoretical Foundations and Practical Implications;Mayrhofer, David & Back, Andrea;01. Apr 03;
1647173087-118;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Arbeitsplatz der Zukunft, Innovationsvortrag.;https://www.alexandria.unisg.ch/214341/;Arbeitsplatz der Zukunft, Innovationsvortrag;Back, Andrea;28. Okt 10;
1647173449-291;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Integrating the Smartphone : Applying the U-Constructs Approach on the Case of Mobile University Services.;https://www.alexandria.unisg.ch/211867/;Integrating the Smartphone : Applying the U-Constructs Approach on the Case of Mobile University Services;"Sammer, Thomas; Camichel, Fabio Armon & Back, Andrea";03. Sep 11;
1647173190-167;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;MERLIN - Materializing, Experiencing, Refining and Learning in Knowledge Networks.;https://www.alexandria.unisg.ch/66697/;MERLIN - Materializing, Experiencing, Refining and Learning in Knowledge Networks;"Enkel, Ellen; Raimann, Joerg; Seufert, Andreas; Vassiliadis, Stefanos; Wicki, Yvonne; Back, Andrea & von Krogh, G.";19. Sep 00;
1647172841-1;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Teamzentrierte Lernumgebungen: Beispiele und Erfahrungen mit Lehrveranstaltungen an der Universität St. Gallen.;https://www.alexandria.unisg.ch/213791/;Teamzentrierte Lernumgebungen: Beispiele und Erfahrungen mit Lehrveranstaltungen an der Universität St. Gallen;Back, Andrea;23. Jan 98;
1647172952-54;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Strategische Ausrichtung von E-Learning.;https://www.alexandria.unisg.ch/213861/;Strategische Ausrichtung von E-Learning;Back, Andrea;01. Okt 03;
1647173610-368;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Wissensmanagement strategisch verankern.;https://www.alexandria.unisg.ch/65939/;Wissensmanagement strategisch verankern;"Ammann Schoch, Regina; Back, Andrea; Kunert, Karsten & Tresch, Markus";01. Apr 04;Wissensmanagement : das Magazin für Führungskräfte
1647173358-248;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Crowdsourcing-Plattformen.;https://www.alexandria.unisg.ch/216612/;Crowdsourcing-Plattformen;Walter, Thomas;2012;
1647173070-110;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Silo-Breaking through Open (e-)Cooperation - Zusammenarbeit von Hochschullehre und Unternehmenspraxis.;https://www.alexandria.unisg.ch/197456/;Silo-Breaking through Open (e-)Cooperation - Zusammenarbeit von Hochschullehre und Unternehmenspraxis;Back, Andrea;11. Mär 10;
1647173210-177;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Knowledge Network - Survey Findings (internal Paper).;https://www.alexandria.unisg.ch/213935/;Knowledge Network - Survey Findings (internal Paper);"Wicki, Yvonne; Enkel, Ellen; Seufert, Andreas; Back, Andrea & von Krogh, Georg";01. Okt 01;
1647172954-55;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Insights from taking a business engineering perspective on corporate eLearning.;https://www.alexandria.unisg.ch/66864/;Insights from taking a business engineering perspective on corporate eLearning;Back, Andrea;01. Okt 03;
1647173003-78;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Weblogs und Wikis in der Hochschullehre: ein Erfahrungsbericht.;https://www.alexandria.unisg.ch/67060/;Weblogs und Wikis in der Hochschullehre: ein Erfahrungsbericht;Back, Andrea;13 July 2006;
1647173400-268;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software (2., aktualisierte Auflage).;https://www.alexandria.unisg.ch/58167/;Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software (2., aktualisierte Auflage);Social-Software-Anwendungen wie Wikis, Weblogs oder Social-Networking-Plattformen sind ein integraler Bestandteil der Weiterentwicklung des Internets, des vielzitierten Web 2.0. Zur Nutzung kommen diese Anwendungen aus dem Bedürfnis heraus, Wissen zu sammeln, bereitzustellen und zu verteilen bzw. Communities aufzubauen und ihnen Raum zum Austausch zu geben. Worin liegt nun aber der praktische Nutzen des Web 2.0 für Unternehmen? Im Rahmen dieses Buches nähern sich rund 30 Autoren aus Wissenschaft und Praxis der Beantwortung dieser Frage. Im Einführungsteil folgt einer Auseinandersetzung mit den Begriffen Web 2.0 und Social Software die nähere Erläuterung der unterschiedlichen Social-Software-Anwendungen wie Wikis, Weblogs oder Social Bookmarking. Im darauf folgenden Abschnitt rücken die Potenziale der Anwendung in Unternehmen und die Wissensarbeiter als Nutzer in den Fokus. Beantwortet werden Fragen wie die nach der notwendigen Unternehmenskultur und wichtigen Kompetenzen, um effizient mit Social Software im Unternehmen arbeiten zu können. Auch die Einführung solcher Anwendungen im Unternehmen wird thematisiert. Der dritte Teil des Buches enthält acht konkrete und umfangreich beschriebene Anwendungsfälle aus grossen und kleinen Unternehmen wie z.B. IBM, Deutsche Bahn, Opel, SUN Microsystems und der PSI AG. Im abschliessenden Teil werden zukünftige Entwicklungen und Visionen thematisiert. Das Buch liefert auf diese Weise sowohl Einsteigern in das Thema als auch Fortgeschrittenen zahlreiche wertvolle Anregungen zur gewinnbringenden Nutzung von Web-2.0-Applikationen in den täglichen Geschäftsprozessen von Unternehmen.;2009;
1647173273-207;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Lernen im Cyberspace: Die Zukunft der Wissensentwicklung und Bildungsdienstleistung?;https://www.alexandria.unisg.ch/213482/;Lernen im Cyberspace: Die Zukunft der Wissensentwicklung und Bildungsdienstleistung?;Back, Andrea;2000;
1647173595-361;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Informations- und Kommunikationsdienste für Wissensnetzwerke.;https://www.alexandria.unisg.ch/197065/;Informations- und Kommunikationsdienste für Wissensnetzwerke;Raimann, Joerg & Back, Andrea;01. Jun 02;wisu das wirtschaftsstudium
1647173614-370;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Knowledge Management in Challenging Settings - A Case of Military Aircraft.;https://www.alexandria.unisg.ch/65844/;Knowledge Management in Challenging Settings - A Case of Military Aircraft;"Mayrhofer, David; Heilmeier, Peter; Nirankari, Ravi & Back, Andrea";1 July 2005;J.UKM: Universal Journal of Knowledge Management
1647173627-376;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies.;https://www.alexandria.unisg.ch/213624/;A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies;Heidecke, Florian & Back, Andrea;01. Jan 09;International Journal of e-Collaboration
1647173371-254;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Enterprise 2.0 - Digitale Transformation durch soziale Technologien.;https://www.alexandria.unisg.ch/246905/;Enterprise 2.0 - Digitale Transformation durch soziale Technologien;Back, Andrea;2016;
1647173474-303;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Information Security and Open Source Dual Use Security Software: Trust Paradox.;https://www.alexandria.unisg.ch/224203/;Information Security and Open Source Dual Use Security Software: Trust Paradox;Silic, Mario & Back, Andrea;26. Jun 13;
1647173346-242;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies.;https://www.alexandria.unisg.ch/214092/;A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies;Heidecke, Florian & Back, Andrea;2009;
1647173467-300;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations.;https://www.alexandria.unisg.ch/223688/;Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations;Silic, Mario & Back, Andrea;09. Jun 13;
1647172967-61;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Corporate eLearning and Knowledge Management: Will convergence bridge the gaps?;https://www.alexandria.unisg.ch/66831/;Corporate eLearning and Knowledge Management: Will convergence bridge the gaps?;Back, Andrea;16. Feb 04;
1647173677-400;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Taxonomy of technological risks of open source software in the enterprise adoption context.;https://www.alexandria.unisg.ch/245189/;Taxonomy of technological risks of open source software in the enterprise adoption context;"Silic, Mario; Back, Andrea & Silic, Dario";15. Okt 15;Information & Computer Security
1647173685-404;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Gestaltungsbereiche der Digitalen Transformation von Unternehmen: Entwicklung eines Reifegradmodells.;https://www.alexandria.unisg.ch/248610/;Gestaltungsbereiche der Digitalen Transformation von Unternehmen: Entwicklung eines Reifegradmodells;Berghaus, Sabine & Back, Andrea;Jun 16;Die Unternehmung
1647173423-279;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Knowledge Management in Challenging Settings - A Case of Military Aircraft.;https://www.alexandria.unisg.ch/213119/;Knowledge Management in Challenging Settings - A Case of Military Aircraft;"Mayrhofer, David; Heilmeier, Peter; Nirankari, Ravi & Back, Andrea";29. Jun 05;Journal of Universal Computer Science
1647173704-413;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Coworking aus Unternehmenssicht – Out of Office, into the Flow?;https://www.alexandria.unisg.ch/258568/;Coworking aus Unternehmenssicht – Out of Office, into the Flow?;Josef, Barbara & Back, Andrea;12 July 2019;Arbeiten 4.0
1647173398-267;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Web 2.0 in der Unternehmenspraxis: Grundlagen, Fallstudien und Trends zum Einsatz von Social Software.;https://www.alexandria.unisg.ch/46001/;Web 2.0 in der Unternehmenspraxis: Grundlagen, Fallstudien und Trends zum Einsatz von Social Software;Social-Software-Anwendungen wie Wikis, Weblogs oder Social-Networking-Plattformen sind ein integraler Bestandteil der Weiterentwicklung des Internets, des vielzitierten Web 2.0. Zur Nutzung kommen diese Anwendungen aus dem Bedürfnis heraus, Wissen zu sammeln, bereitzustellen und zu verteilen bzw. Communities aufzubauen und ihnen Raum zum Austausch zu geben. Worin liegt nun aber der praktische Nutzen des Web 2.0 für Unternehmen? Im Rahmen dieses Buches nähern sich rund 30 Autoren aus Wissenschaft und Praxis der Beantwortung dieser Frage. Im Einführungsteil folgt einer Auseinandersetzung mit den Begriffen Web 2.0 und Social Software die nähere Erläuterung der unterschiedlichen Social-Software-Anwendungen wie Wikis, Weblogs oder Social Bookmarking. Im darauf folgenden Abschnitt rücken die Potenziale der Anwendung in Unternehmen und die Wissensarbeiter als Nutzer in den Fokus. Beantwortet werden Fragen wie die nach der notwendigen Unternehmenskultur und wichtigen Kompetenzen, um effizient mit Social Software im Unternehmen arbeiten zu können. Auch die Einführung solcher Anwendungen im Unternehmen wird thematisiert. Der dritte Teil des Buches enthält acht konkrete und umfangreich beschriebene Anwendungsfälle aus grossen und kleinen Unternehmen wie z.B. IBM, Deutsche Bahn, Opel, SUN Microsystems und der PSI AG. Im abschliessenden Teil werden zukünftige Entwicklungen und Visionen thematisiert. Das Buch liefert auf diese Weise sowohl Einsteigern in das Thema als auch Fortgeschrittenen zahlreiche wertvolle Anregungen zur gewinnbringenden Nutzung von Web-2.0-Applikationen in den täglichen Geschäftsprozessen von Unternehmen.;2008;
1647173267-204;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Telelernen.;https://www.alexandria.unisg.ch/214186/;Telelernen;Back, Andrea & Weiser, Christian;1997;
1647173618-372;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;The CC Model as Organizational Design Striving to Combine Relevance and Rigor.;https://www.alexandria.unisg.ch/213609/;The CC Model as Organizational Design Striving to Combine Relevance and Rigor;"Back, Andrea; Vonkrogh, Georg & Enkel, Ellen";01. Feb 07;Systemic Practice and Action Research
1647173279-210;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Executive Information System (EIS).;https://www.alexandria.unisg.ch/196825/;Executive Information System (EIS);Back, Andrea & Seufert, Andreas;2001;
