web-scraper-order,web-scraper-start-url,published,published-href,authors,date,journal,title
"1647205771-74","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Progettare il proprio lavoro attraverso una formazione efficace on-line.","https://www.alexandria.unisg.ch/213086/","Back, Andrea","null","null","Progettare il proprio lavoro attraverso una formazione efficace on-line"
"1647205679-30","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Knowledge Management und E-Learning.","https://www.alexandria.unisg.ch/214083/","Back, Andrea","null","null","Knowledge Management und E-Learning"
"1647206125-233","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Organisation des Aussendiensttrainings in der Pharma-Branche: Entwicklung eines Referenzmodells mittels Fallstudienforschung.","https://www.alexandria.unisg.ch/213547/","Heidecke, Florian; Mayrhofer, David; Schiesser, Andreas & Back, Andrea","null","null","Organisation des Aussendiensttrainings in der Pharma-Branche: Entwicklung eines Referenzmodells mittels Fallstudienforschung"
"1647205635-9","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Potentiale der neuen Medien in der Ausbildung: 7 Thesen.","https://www.alexandria.unisg.ch/214310/","Back, Andrea","null","null","Potentiale der neuen Medien in der Ausbildung: 7 Thesen"
"1647206266-299","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Determination of Enterprise 2.0 Development Levels with a Maturity Model.","https://www.alexandria.unisg.ch/215829/","Friedel, Dominik & Back, Andrea","null","null","Determination of Enterprise 2.0 Development Levels with a Maturity Model"
"1647205915-135","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?","https://www.alexandria.unisg.ch/216806/","Back, Andrea & Henestrosa, Alexandra","null","null","Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?"
"1647206000-175","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Fostering New Ventures: Organisational conditions for New Ventures in Unilever.","https://www.alexandria.unisg.ch/293/","van Wegen, B.; Makarevitch, Alexei; Kayser, T. & Enkel, Ellen","null","null","Fostering New Ventures: Organisational conditions for New Ventures in Unilever"
"1647205842-101","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?"".","https://www.alexandria.unisg.ch/213661/","Back, Andrea","null","null","Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?"""
"1647205693-37","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","e-Learning-Projekte: Lernen via e-Training und e-Collaboration.","https://www.alexandria.unisg.ch/66838/","Back, Andrea","null","null","e-Learning-Projekte: Lernen via e-Training und e-Collaboration"
"1647206067-206","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Zum Verhältnis von informationstechnologischer und gesellschaftlicher Entwicklung: Bildung für Informationstechnik - Informationstechnik für Bildung.","https://www.alexandria.unisg.ch/196704/","Österle, Hubert & Back, Andrea","null","null","Zum Verhältnis von informationstechnologischer und gesellschaftlicher Entwicklung: Bildung für Informationstechnik - Informationstechnik für Bildung"
"1647206439-380","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Corporate E-Learning: Disruptive Innovation auf der Überholspur?","https://www.alexandria.unisg.ch/67611/","Back, Andrea","null","IT-Business","Corporate E-Learning: Disruptive Innovation auf der Überholspur?"
"1647206009-179","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Neue Lerntechnologien (NLT) in Schweizerischen Industrieunternehmen.","https://www.alexandria.unisg.ch/213511/","Back, Andrea & Bursian, Olaf","null","null","Neue Lerntechnologien (NLT) in Schweizerischen Industrieunternehmen"
"1647205864-111","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Mit Medienkompetenz zum Studierendenerlebnis.","https://www.alexandria.unisg.ch/213933/","Back, Andrea","null","null","Mit Medienkompetenz zum Studierendenerlebnis"
"1647206045-196","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","State-of-the-Art on Maturity Models for Collaboration.","https://www.alexandria.unisg.ch/214253/","Hain, Stefanie & Back, Andrea","1 October 2009","null","State-of-the-Art on Maturity Models for Collaboration"
"1647205859-109","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur.","https://www.alexandria.unisg.ch/213221/","Back, Andrea","null","null","Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur"
