Alexandria Scraper - Andrea Beck;;;;;;;;;;;;;;;;;;;;
Publikationstitel;Link;Autorennamen;Publikationsart;Journal;Fachgebiete;Sprache;Stichworte;Peer-Reviewed;Datum;Verlag;Auflage;Ausgabe;Seiten;ISSN;DOI;URL;Eingestellt von;Einstellungsdatum;Letzte Änderung;URI
E-Learning Balanced Scorecard.;https://www.alexandria.unisg.ch/66841/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning, Balanced Scorecard;Nein;23 März 2004;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:03;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66841
Enterprise 2.0-Fallstudien - Aus Erfahrung lernen.;https://www.alexandria.unisg.ch/214409/;Back, Andrea & Koch, Michael;Präsentation;;information management;Deutsch;Enterprise 2.0, Fallstudie;Nein;16 September 2010;;;;;;;;Prof. Dr. Andrea Back;26 Okt 2011 12:29;23 Aug 2017 08:12;https://www.alexandria.unisg.ch/publications/214409
Trends im E-Learning - Chancen, die es zu nutzen gilt.;https://www.alexandria.unisg.ch/213753/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;20 Oktober 2006;;;;;;;;Prof. Dr. Andrea Back;26 Okt 2006 16:36;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213753
E-Learning: Ein Wörterbuch.;https://www.alexandria.unisg.ch/214275/;"Back, Andrea; Bendel, Oliver & Stoller-Schai, Daniel";Buch;;information management;Deutsch;;Nein;2002;Achertäler Verlag;;;125;;;;Prof. Dr. Andrea Back;30 Jun 2006 10:12;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214275
Wissensmanagement in KMU.;https://www.alexandria.unisg.ch/213576/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;14 September 2001;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:56;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213576
Management Support Systeme im Informationszeitalter.;https://www.alexandria.unisg.ch/214123/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;17 März 1999;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:49;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214123
From Suppliers to Complementors: Motivational Factors for Joining Industrial Internet of Things Platform Ecosystems.;https://www.alexandria.unisg.ch/261271/;"Marheine, Christian; Pauli, Tobias; Marx, Emanuel; Back, Andrea & Matzner, Martin";"Konferenzbeitrag
  	      (Paper)";;"business studies
information management";Englisch;IoT, B2B, Platform, Ecosystem, Join;Ja;Januar 2021;;Proceedings of the 54th Hawaii International Conference on System Sciences;;;;;;Christian Marheine;23 Okt 2020 15:43;17 Feb 2021 17:14;https://www.alexandria.unisg.ch/publications/261271
Mobile Business 2013 : Der Einfluss von Second Generation Enterprise Mobility auf die Value Chain von Unternehmen.;https://www.alexandria.unisg.ch/232126/;"Sammer, Thomas; Back, Andrea & Bessing, Stefan";Fallstudie;;information management;Deutsch;;Nein;2013;;;;;;;;Prof. Dr. Andrea Back;12 Jun 2014 12:10;23 Aug 2016 11:19;https://www.alexandria.unisg.ch/publications/232126
Putting knowledge networks into action : a methodology for developing and maintaining Knowledge Networks.;https://www.alexandria.unisg.ch/254/;;Buch;;business studies;Englisch;Knowledge Networks, KnowledgeSource;Nein;2005;Springer;;;196;;10.1007/b138845;;Ellen Enkel;25 Okt 2004 11:11;27 Feb 2016 14:40;https://www.alexandria.unisg.ch/publications/254
Stages in Digital Business Transformation: Results of an Empirical Maturity Study.;https://www.alexandria.unisg.ch/249286/;Berghaus, Sabine & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;;4 September 2016;;;;;;;http://aisel.aisnet.org/mcis2016/22;Sabine Berghaus;23 Sep 2016 07:26;17 Jan 2018 15:48;https://www.alexandria.unisg.ch/publications/249286
Wikis, Blogs & Co. - neue Kommunikations- und Organisationsformen im Gesundheitswesen.;https://www.alexandria.unisg.ch/213941/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Social Software, Web 2.0;Nein;6 November 2007;;;;;;;;Prof. Dr. Andrea Back;09 Nov 2007 10:28;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213941
"RING-Workshop zum Thema ""Wissensmanagement"" bei Radio DRS.";https://www.alexandria.unisg.ch/66883/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;18 Dezember 2001;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:28;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66883
Collaboration Between Corporations and Startups: The Startup-Collaboration-Model.;https://www.alexandria.unisg.ch/258561/;"Peter, Lukas; Back, Andrea & Werro, Tina";Buchkapitel;;information management;Englisch;;;2019;;2;2;80-87;;;https://kickstart-innovation.com/wp-content/upload...;Prof. Dr. Andrea Back;04 Dez 2019 14:20;25 Feb 2020 19:04;https://www.alexandria.unisg.ch/publications/258561
Development Aspects and Supportive Factors in Knowledge Networks.;https://www.alexandria.unisg.ch/298/;"Köhne, M.; Enkel, Ellen; Seufert, Andreas; Back, Andrea & Vonkrogh, Georg";"Monograph
  	      
              (Working Paper)";;business studies;Englisch;;Ja;2000;;;BE HSG/IWI No 18;;;;;Ellen Enkel;25 Okt 2004 11:17;23 Aug 2016 10:52;https://www.alexandria.unisg.ch/publications/298
Teamarbeit 2.0: Global - zeitgemäss - kompetent.;https://www.alexandria.unisg.ch/216811/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0, Enterprise 2.0;Nein;20 July 2012;;;;;;;;Prof. Dr. Andrea Back;21 Sep 2012 09:33;13 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/216811
Perspective for our partners: Boundaries of the firm.;https://www.alexandria.unisg.ch/295/;"Enkel, Ellen; Gibbert, Michael; Makarevitch, Alexei & Vassiliadis, Stefanos";"Monograph
  	      
              (Working Paper)";;business studies;Englisch;;Nein;2001;;;Vol. 2. BE HSG/IWI 3 IfB No 30;;;;;Ellen Enkel;25 Okt 2004 11:17;27 Feb 2016 14:40;https://www.alexandria.unisg.ch/publications/295
How work is changing in the Information Age.;https://www.alexandria.unisg.ch/66912/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;28 Februar 2006;;;;;;;;Prof. Dr. Andrea Back;01 Sep 2006 09:55;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66912
Knowledge Networking: Von der Vision zum Business Case.;https://www.alexandria.unisg.ch/213548/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management, Knowledge Networking;Nein;1 Januar 2000;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:42;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213548
Videobasiertes Workplace Learning - Auf dem Siegeszug 2.0.;https://www.alexandria.unisg.ch/102534/;Back, Andrea;Präsentation;;information management;Deutsch;E-Learning, Web 2.0, Videobasiertes Lernen, Workplace Learning;Nein;6 April 2011;;;;;;;;Prof. Dr. Andrea Back;21 Apr 2011 11:18;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/102534
E-Learning strategisch verankern.;https://www.alexandria.unisg.ch/66847/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning-Strategien;Nein;4 September 2003;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:12;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/66847
Open (e-)Cooperation - Ein Erfahrungsbericht zu Formen der Zusammenarbeit von Hochschullehre und Unternehmenspraxis.;https://www.alexandria.unisg.ch/68008/;Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;;Nein;11 März 2010;Freie Universität Berlin;;;14-18;;;;Prof. Dr. Andrea Back;29 Apr 2010 12:35;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/68008
Executive Information Systems.;https://www.alexandria.unisg.ch/213206/;"Back, Andrea; Rieger, B. & Seufert, Andreas";Buchkapitel;;information management;Englisch;Informationsmanagement;Nein;1997;;;;157-158;;;;Prof. Dr. Andrea Back;30 Jun 2006 10:50;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213206
Wie packen Unternehmen die Digitale Transformation an? (Teil 1).;https://www.alexandria.unisg.ch/247311/;Berghaus, Sabine & Back, Andrea;Fallstudie;;information management;Deutsch;;Nein;2016;;;;;;;;Prof. Dr. Andrea Back;11 Feb 2016 11:31;23 Aug 2016 11:23;https://www.alexandria.unisg.ch/publications/247311
Evaluation Report: Review of the Knowledge Management Activities in the Unilever Culinary Category.;https://www.alexandria.unisg.ch/196967/;Back, Andrea & von Krogh, G.;"Monograph
  	      
              (Working Paper)";;information management;Englisch;Wissensmanagement;Nein;1 August 1998;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 10:47;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/196967
Barrieren am Weg zum Mobile Contactless Payment Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz.;https://www.alexandria.unisg.ch/216766/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;1 März 2012;;;;;;;;Prof. Dr. Andrea Back;20 Sep 2012 16:26;12 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/216766
Beiträge der Balanced Scorecard für ein nachhaltiges E-Learning im Unternehmen.;https://www.alexandria.unisg.ch/213942/;Leithner, Barbara & Back, Andrea;"Monograph
  	      
              (Working Paper)";;information management;Deutsch;Balanced Scorecard, E-Learning;Nein;1 April 2004;Institut für Wirtschaftsinformatik;;4/2004;;;;;Barbara Leithner;16 Apr 2009 15:17;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213942
Perspective for our partners: Innovation, Knowledge creation, Customer Integration and Launching new Ventures.;https://www.alexandria.unisg.ch/296/;"Enkel, Ellen; Gibbert, Michael; Makarevitch, Alexei & Vassiliadis, Stefanos";"Monograph
  	      
              (Working Paper)";;business studies;Englisch;;Nein;2001;;;Vol. 01. BE HSG/IWI 3 IfB No 29;;;;;Ellen Enkel;25 Okt 2004 11:17;27 Feb 2016 14:40;https://www.alexandria.unisg.ch/publications/296
Lernkurve von 1.x nach 2.x - Erkenntnisse nach 100 Tagen Wissensblog.;https://www.alexandria.unisg.ch/213950/;Back, Andrea;Präsentation;;information management;Deutsch;Weblog, Web 2.0;Nein;10 April 2008;;;;;;;;Prof. Dr. Andrea Back;10 Okt 2008 11:18;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213950
E-Learning strategisch verankern.;https://www.alexandria.unisg.ch/66658/;Back, Andrea;Buchkapitel;;information management;Deutsch;E-Learning-Strategien, E-Learning;Nein;2007;;;;205-226;;10.1007/978-3-8349-9318-2_12;;Prof. Dr. Andrea Back;23 Mai 2006 10:08;12 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/66658
Ich habe fertig - aus der Sicht der Mertens-Zauberlehrlinge (Laudatio, gehalten an der WISO in Nürnberg am 10. Januar 2006, Emeritierung Prof. Dr. Peter Mertens).;https://www.alexandria.unisg.ch/213849/;Back, Andrea;"Monograph
  	      
              (Working Paper)";;information management;Deutsch;;Nein;1 Januar 2006;Institut für Wirtschaftsinformatik;;;;;;;Prof. Dr. Andrea Back;15 Mar 2006 09:27;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213849
Getting real about knowledge networks : unlocking corporate knowledge assets.;https://www.alexandria.unisg.ch/213997/;;Buch;;information management;Englisch;Cases, Knowledge Networks;Nein;2006;Palgrave Macmillan;;;256;;;;Prof. Dr. Andrea Back;30 Jun 2006 13:23;19 Aug 2016 16:14;https://www.alexandria.unisg.ch/publications/213997
Das interne Geschäftsmodell für betriebliche Bildung - Herausforderungen und Entwicklungstendenzen.;https://www.alexandria.unisg.ch/214118/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;29 Juni 2005;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:41;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214118
Lexikon der Wirtschaftsinformatik.;https://www.alexandria.unisg.ch/213208/;;Buch;;information management;Deutsch;;Nein;2001;Springer;;;578;;;;Prof. Dr. Andrea Back;30 Jun 2006 13:07;24 Mar 2016 09:52;https://www.alexandria.unisg.ch/publications/213208
Business 2.0 - Die Triebfedern des partizipativen Web für Business-Innovation.;https://www.alexandria.unisg.ch/214088/;Back, Andrea;Präsentation;;information management;Deutsch;Business 2.0;Nein;18 September 2009;;;;;;;;Prof. Dr. Andrea Back;09 Okt 2009 12:56;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214088
Wirtschaftlichkeitsanalysen im IV-Bereich.;https://www.alexandria.unisg.ch/66896/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Wirtschaftlichkeit;Nein;2 Juni 1998;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:53;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66896
Die Welt wird digital.;https://www.alexandria.unisg.ch/248986/;Back, Andrea;Zeitungs- oder Magazinartikel;DATEV magazin;information management;Deutsch;;;July 2016;DATEV;;07/16;8-10;2197-2893;;;Prof. Dr. Andrea Back;10 Aug 2016 09:59;23 Aug 2016 11:24;https://www.alexandria.unisg.ch/publications/248986
Towards a Reference Model for Knowledge Networking.;https://www.alexandria.unisg.ch/66692/;"Seufert, Andreas; Back, Andrea & von Krogh, G.";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;Knowledge Networks;Nein;16 Dezember 1999;;;;;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:52;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66692
Performance Measurement of Communities of Practice.;https://www.alexandria.unisg.ch/213234/;"Raimann, Joerg; Koehne, Marija; Seufert, Andreas; Back, Andrea & von Krogh, G.";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;Communities of Practice, Knowledge Networks, Performance Measurement;Nein;28 July 2000;;;;;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:53;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213234
Crowdsourcing-Plattformen.;https://www.alexandria.unisg.ch/216612/;Walter, Thomas;Buchkapitel;;information management;Deutsch;Web 2.0;Nein;2012;;3., vollst. überarb. Aufl.;;73-82;;;;Dr. Thomas Walter;12 Sep 2012 17:36;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216612
Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien.;https://www.alexandria.unisg.ch/216026/;Wertvolle Anregungen zur gewinnbringenden Nutzung von Web-2.0-Anwendungen und Social Media in Unternehmen und Verwaltung.Wikis, Blogs, Community-Plattformen und Social Media sind heute selbstverständlich in der Geschäftspraxis. Typische Einsatzfelder sind interne Kollaboration, Wissens- und Innovationsmanagement, Marketing und Recruiting. Wie kann Social Software ihre Aufgaben beeinflussen und ihre Prozesse verbessern? Über 60 führende Autorinnen und Autoren aus Wissenschaft und Praxis geben darauf in diesem Buch eine Antwort.Das Buch schafft Klarheit über Web-2.0-Prinzipien und den Zusammenhang relevanter Fachbegriffe. Die detaillierte Beschreibung der Anwendungsklassen und Konzepte - wie z. B. Soziale Netzwerke, Blogs, Wikis, Microblogging, Crowdsourcing oder Social Forecasting - macht die vielseitigen Nutzungsmöglichkeiten von Social Business Software verständlich. Auch jüngste Entwicklungen im mobilen Web 2.0 und die zunehmend stärker integrierten Anwendungen im Enterprise 2.0 werden behandelt.Hinzu kommen 20 ausführlich beschriebene Fallstudien, die einen Querschnitt über die verschiedenen Geschäftsprozesse in zahlreichen Branchen abdecken und zeigen, was in der Praxis Nutzen bringt und welche Erfolgsfaktoren ausschlaggebend sind. Lösungen von namhaften Grossunternehmen sind ebenso vertreten wie Lösungen von KMU und Anwendungen im öffentlichen Sektor. Die in der 3. Auflage neu hinzugekommenen Kapitel zu Rahmenbedingungen und Methoden liefern Projektverantwortlichen konkrete Managementinstrumente, um Social-Software-Projekte ganzheitlich und kompetent angehen zu können.Vorschau im [http://www.oldenbourg-verlag.de/wissenschaftsverlag/web-20-und-social-media-unternehmenspraxis/9783486598322 Oldenbourg Verlag];Buch;;business studies;Deutsch;Blog, Social Software, Social Networking, Enterprise 2.0, Web 2.0;Nein;2012;;3., vollständig überarbeitete Auflage;;476;;;;Prof. Dr. Andrea Back;23 Aug 2012 16:09;27 Feb 2016 17:39;https://www.alexandria.unisg.ch/publications/216026
"Deterrent Effects of Warnings on User’s Behavior in Preventing Malicious
Software Use.";https://www.alexandria.unisg.ch/250195/;Silic, Mario & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;;6 Januar 2017;Proceedings of the 50th Annual Hawaii International Conference on System Sciences (HICSS);;;4937-4946;;;;Prof. Dr. Andrea Back;24 Jan 2017 15:36;24 Jan 2017 15:55;https://www.alexandria.unisg.ch/publications/250195
The New Enterprise Mobility: Seizing the Opportunities and Challenges in Corporate Mobile IT.;https://www.alexandria.unisg.ch/225214/;"Sammer, Thomas; Brechbühl, Hans & Back, Andrea";"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Corporate IT, Mobile Computing, Opportunities and Challenges, Role of IT, Smartphone, Tablet Computer;Ja;17 August 2013;Association for Information Systems;;;1-8;;;http://aisel.aisnet.org/amcis2013/StrategicUse/Gen...;Thomas Sammer;27 Aug 2013 12:04;12 Apr 2017 14:58;https://www.alexandria.unisg.ch/publications/225214
"Habilitation: ""Beiträge der Daten-, Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings"".";https://www.alexandria.unisg.ch/196668/;Back, Andrea;"Qualifikationsarbeit
  	      
              
              (Doctoral)";;information management;Deutsch;Informationsmanagement;Nein;1 Januar 1993;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 11:16;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/196668
Social Media in Universities.;https://www.alexandria.unisg.ch/146667/;Back, Andrea;Präsentation;;information management;Deutsch;Social Media, Business 2.0, Web 2.0;Nein;14 Juni 2011;;;;;;;;Prof. Dr. Andrea Back;22 Jun 2011 13:22;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/146667
Towards a Framework for Knowledge Networks for Growth - Results of an Action Research Study.;https://www.alexandria.unisg.ch/280/;"Enkel, Ellen; Back, Andrea & Vonkrogh, Georg";"Konferenzbeitrag
  	      (Paper)";;business studies;Englisch;;Ja;1 August 2003;;;;;;;;Ellen Enkel;25 Okt 2004 11:16;13 Mar 2022 01:19;https://www.alexandria.unisg.ch/publications/280
Avatar.;https://www.alexandria.unisg.ch/214161/;Bendel, Oliver;Buchkapitel;;information management;Deutsch;E-Learning;Nein;2001;;4., neubearb. u. erw. Aufl.;;60;;;;Oliver Bendel;30 Jun 2006 08:43;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214161
